d100,Word
1,Dragonblade
2,Displacermaul
3,Direfangaxe
4,Donkeyflail
5,Drowwhip
6,Daggergriffon
7,Duelchimera
8,Druidfangsword
9,Drakecleaver
10,Donjonmaw
11,Daggerminotaur
12,Dungeonrapier
13,Dwarfhornbow
14,Direboarspear
15,Dreadwyrmblade
16,Daggerhydra
17,Displacerfang
18,Deepbearmace
19,Doomclawaxe
20,Dreadmaulbeast
21,Daggertiger
22,Dunevulturebow
23,Daggerbeast
24,Daggerowlbear
25,Donkeyjawblade
26,Dragonhornhalberd
27,Daggerlizard
28,Druidwolfstaff
29,Dreadmantispear
30,Diretoothdagger
31,Displacerblade
32,Dungeonfang
33,Devilboarstave
34,Daggerlynx
35,Doomgoathammer
36,Dragonhideclub
37,Daggerturtle
38,Drowmauler
39,Daggermammoth
40,Dreadhoundsaber
41,Drakeshadowbow
42,Direcatblade
43,Dungeonstinger
44,Donjonfang
45,Daggerbasilisk
46,Direcrabhook
47,Dragontoothscythe
48,Direfrogtrident
49,Daggergorgon
50,Dreadscorpionblade
51,Daggerbat
52,Displacerwhip
53,Doomstagcleaver
54,Drowfangstaff
55,Direwhaleblade
56,Dungeonbeartusk
57,Daggerroper
58,Darkmantleclub
59,Daggeryeti
60,Donkeyfangsword
61,Druidstagpolearm
62,Dwarvenjackalaxe
63,Dragonratdagger
64,Doomworgcleaver
65,Daggermyrmidon
66,Daggerdretch
67,Daggergriff
68,Dungeonroachblade
69,Direelkhammer
70,Dreadcatbow
71,Displacerjawaxe
72,Devilwolfmace
73,Daggerviper
74,Donjonleechsword
75,Daggermite
76,Deepbatflail
77,Direbuzzardhalberd
78,Dragonspidereblade
79,Daggertigermaul
80,Dungeonmooseaxe
81,Doomcrabcutter
82,Daggercockatrice
83,Drowscalemace
84,Dreadharpywhip
85,Direphoenixclaw
86,Daggerkraken
87,Dungeontoothblade
88,Dragoneelpolearm
89,Daggercobra
90,Dreadserpentlash
91,Druidsharktrident
92,Donkeytusksaber
93,Deepfangglaive
94,Dwarvenbeetlestaff
95,Dragonramsword
96,Doomheronbow
97,Daggerdrake
98,Daggerfalcon
99,Direlynxbite
100,Donjonslothdagger
